Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 .5, 849.999999995507, 849.999999995322, 849.999999984003, 849.99999991386, 849.999999389872, 849.999994688125, 849.999945301647, 849.999350670342, 849.991276827763, 849.869238974042
 1, 849.999999961764, 849.999999960381, 849.999999875823, 849.999999396661, 849.999996209119, 849.999971343163, 849.99975085805, 849.997599029235, 849.975344203923, 849.745820697368
 1.5, 849.999999820787, 849.999999815009, 849.999999463204, 849.999997618027, 849.999986515189, 849.999909651874, 849.999317874012, 849.994440917867, 849.953452355707, 849.628895809126
 2, 849.999999388131, 849.999999370398, 849.999998294402, 849.999993019993, 849.999963957249, 849.999782585706, 849.998544831395, 849.989684267404, 849.926635515842, 849.517735189905
 2.5, 849.999998299755, 849.999998255146, 849.999995556105, 849.999983092191, 849.999919573268, 849.99955778654, 849.997334538543, 849.983220755288, 849.895750560113, 849.411710966407
 3, 849.9999959224, 849.999995824962, 849.999989943549, 849.999964187275, 849.999841787729, 849.99919911827, 849.995598375018, 849.975003981594, 849.861508487569, 849.310280737682
 3.5, 849.999991252999, 849.999991061618, 849.999979533478, 849.99993138955, 849.99971656987, 849.998668180153, 849.993258585883, 849.965032710572, 849.82450011085, 849.212974447804
 4, 849.999982813714, 849.999982467819, 849.999961669092, 849.999878441455, 849.999527708124, 849.997925669684, 849.990249245102, 849.953338044702, 849.785217055646, 849.119383436726
 4.5, 849.999968549352, 849.999967964709, 849.999932863952, 849.999797726388, 849.999257159221, 849.99693254209, 849.986516334421, 849.939973649228, 849.744068953868, 849.029151287339
 5, 849.999945733284, 849.999944798139, 849.999888729459, 849.999680302244, 849.99888543652, 849.995650950671, 849.982017256563, 849.925008340303, 849.701397543488, 848.941966156707
 5.5, 849.999910886953, 849.999909458733, 849.999823928293, 849.999515977711, 849.998392009291, 849.994044974445, 849.976720008031, 849.908520501836, 849.657488250597, 848.857554336023
 6, 849.999859716722, 849.999857619446, 849.999732154313, 849.999293422374, 849.99775569174, 849.992081151857, 849.970602168522, 849.890593914607, 849.61257971893, 848.775674829892
 6.5, 849.999787070435, 849.999784092936, 849.999606137903, 849.999000301596, 849.996955006819, 849.989728845176, 849.96364981432, 849.871314673507, 849.56687166352, 848.696114782907
 7, 849.999686914788, 849.999682809784, 849.999437674633, 849.998623427785, 849.995968515141, 849.986960462035, 849.955856427225, 849.850768940795, 849.520531353889, 848.618685611972
 7.5, 849.999552333419, 849.999546817434, 849.999217674363, 849.998148920574, 849.99477510356, 849.983751559928, 849.94722184499, 849.829041339386, 849.473698974744, 848.543219727679
 8, 849.999375544721, 849.999368298817, 849.998936227503, 849.997562369598, 849.993354231189, 849.980080857458, 849.93775128104, 849.806213833991, 849.426492065836, 848.469567748375
 8.5, 849.999147937662, 849.999138608903, 849.998582684976, 849.996848994742, 849.991686133037, 849.975930173434, 849.927454428629, 849.782364982084, 849.379009205217, 848.397596127177
 9, 849.998860123382, 849.998848326955, 849.998145748443, 849.995993799846, 849.989751983121, 849.971284312009, 849.916344655857, 849.75756946334, 849.331333069835, 848.327185125831
 9.5, 849.998502000057, 849.998487321927, 849.997613567569, 849.994981716923, 849.987534019979, 849.966130909128, 849.904438292158, 849.7318978169, 849.283532982908, 848.258227080525
 10, 849.998062828377, 849.998044828379, 849.996973841347, 849.993797738825, 849.985015638211, 849.960460252892, 849.891754003141, 849.70541633207, 849.235667037562, 848.190624913963
 10.5, 849.997531314969, 849.99750953023, 849.996213920856, 849.992427039087, 849.982181449949, 849.954265088007, 849.878312248323, 849.67818705061, 849.187783870107, 848.124290855637
 11, 849.996895701251, 849.996869649832, 849.995320911192, 849.990855078288, 849.979017320241, 849.947540412384, 849.864134815068, 849.650267848601, 849.139924143112, 848.059145338453
 11.5, 849.996143855339, 849.996113039999, 849.994281770681, 849.98906769679, 849.975510380234, 849.940283272153, 849.849244421466, 849.6217125735, 849.092121787764, 847.995116045128
 12, 849.995263364897, 849.9952272769, 849.993083405831, 849.987051194107, 849.9716490218, 849.932492559823, 849.833664380787, 849.592571217885, 849.04440504619, 847.932137081987
 12.5, 849.994241629076, 849.994199751961, 849.991712760851, 849.98479239542, 849.96742287698, 849.924168819094, 849.817418320396, 849.562890116012, 848.996797347339, 847.870148261442
 13, 849.993065947969, 849.993017761215, 849.990156900835, 849.982278705997, 849.962822785267, 849.91531405879, 849.800529948382, 849.53271215279, 848.949318044104, 847.809094477328
 13.5, 849.991723608287, 849.991668590824, 849.988403088003, 849.979498154378, 849.957840751407, 849.905931577555, 849.783022861713, 849.50207697758, 848.901983034614, 847.748925159787
 14, 849.990201964223, 849.990139597747, 849.986438850633, 849.976439425292, 849.952469896071, 849.896025800334, 849.764920390269, 849.471021217253, 848.854805286661, 847.689593798448
 14.5, 849.988488512732, 849.98841828479, 849.984252044497, 849.973091883284, 849.946704401403, 849.88560212714, 849.746245471694, 849.439578684604, 848.807795281007, 847.631057524337
 15, 849.98657096266, 849.986492369483, 849.981830906821, 849.969445588056, 849.940539453149, 849.874666794201, 849.727020552564, 849.407780579397, 848.760961386646, 847.573276742458
 15.5, 849.984437297377, 849.98434984645, 849.979164102878, 849.965491302475, 849.933971180805, 849.863226747341, 849.707267511917, 849.375655680273, 848.714310178894, 847.516214808131
 16, 849.982075830731, 849.98197904308, 849.976240765478, 849.961220494182, 849.926996596951, 849.851289527198, 849.687007603662, 849.343230526431, 848.667846709382, 847.459837741246
 16.5, 849.979475256276, 849.979368668495, 849.973050527666, 849.956625331671, 849.919613536738, 849.838863165736, 849.666261414857, 849.310529588508, 848.621574735511, 847.404113973402
 17, 849.976624689891, 849.976507855879, 849.969583549031, 849.951698675644, 849.911820598288, 849.825956093441, 849.64504883723, 849.277575428472, 848.575496915697, 847.349014123673
 17.5, 849.973513705938, 849.973386198388, 849.965830536043, 849.946434066376, 849.903617084598, 849.812577056493, 849.623389049714, 849.244388848616, 848.529614975697, 847.294510799301
 18, 849.970132367266, 849.969993778891, 849.961782756885, 849.940825707781, 849.895002947415, 849.798735043207, 849.601300510033, 849.210989029919, 848.483929850461, 847.240578418182
 18.5, 849.966471249359, 849.966321193884, 849.957432051236, 849.934868448763, 849.885978733409, 849.784439219007, 849.578800953712, 849.177393660186, 848.438441805236, 847.187193050423
 19, 849.962521459005, 849.962359571931, 849.952770835499, 849.928557762414, 849.876545532868, 849.769698869226, 849.555907399099, 849.14361905247, 848.39315053905, 847.134332276615
 19.5, 849.958274647884, 849.958100587044, 849.94779210391, 849.921889723518, 849.866704931084, 849.754523349025, 849.532636157198, 849.109680254306, 848.348055273231, 847.081975060825
 20, 849.953723021489, 849.953536467415, 849.942489426012, 849.914860984798, 849.856458962491, 849.738922039789, 849.509002845324, 849.075591148338, 848.303154827173, 847.030101636526
 20.5, 849.948859343789, 849.948659999904, 849.936856940893, 849.90746875227, 849.845810067604, 849.722904311346, 849.485022403711, 849.04136454491, 848.258447683244, 846.978693403963
