Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 .5, 849.243944004907, 849.199031288548, 849.057178491511, 848.792843368411, 848.358170126311, 847.673313380532, 846.610378270736, 844.96749987238, 842.427590391071, 838.493012076434
 1, 847.371004276538, 847.259922841232, 846.916262732119, 846.304002335413, 845.361339447844, 843.998048255324, 842.094111997878, 839.5027820814, 836.064501756129, 831.643640597109
 1.5, 844.489260687772, 844.319019433844, 843.799156814177, 842.898858158752, 841.568484496608, 839.742243481707, 837.34373988725, 834.295651207825, 830.534664223059, 826.031269240027
 2, 840.874832633135, 840.662578333261, 840.019573844006, 838.925114006665, 837.34735329213, 835.247012184225, 832.582993811054, 829.319695353231, 825.435306001469, 820.92943892914
 2.5, 836.7867051517, 836.548396111285, 835.82988210064, 834.619377156604, 832.899461840956, 830.650008015016, 827.852076666916, 824.492281901056, 820.566910080543, 816.084860883199
 3, 832.41303053683, 832.160156292651, 831.399830324182, 830.126477454716, 828.332293132844, 826.009139602071, 823.150894587679, 819.755852463113, 815.82873549942, 811.381875457672
 3.5, 827.875754779794, 827.615669139014, 826.834892552897, 825.531712376645, 823.704155776687, 821.35109949659, 818.473579630981, 815.076050912645, 811.167349622579, 806.761153769261
 4, 823.249444709597, 822.986567717522, 822.198110482404, 820.884610588065, 819.047440998611, 816.68941344797, 813.815461266378, 810.4332602085, 806.553655496527, 802.190795571825
 4.5, 818.578324589211, 818.31521557105, 817.526448661301, 816.213811743325, 814.380516271322, 812.03149941158, 809.173746675618, 805.816561070737, 801.971709797025, 797.653400060031
 5, 813.888233871066, 813.626336651452, 812.841409940682, 811.535903452292, 809.713990668547, 807.381699464528, 804.547033736368, 801.220051088931, 797.412861802929, 793.139526281465
 5.5, 809.19420113376, 808.934311146156, 808.155506968507, 806.860564130351, 805.054120968738, 802.742714517777, 799.934792624463, 796.640689148818, 792.872546009068, 788.644172548663
 6, 804.50500504009, 804.247547665209, 803.476083912172, 802.193527107315, 800.404703337296, 798.116336502603, 795.337002444927, 792.07705088159, 788.348488897626, 784.164823430665
 6.5, 799.825846572809, 799.571038501559, 798.807533188079, 797.5382783411, 795.768135840095, 793.503840541122, 790.753925046124, 787.528615465023, 783.839697233205, 779.700352038486
 7, 795.15988951292, 794.907830798515, 794.152566789797, 792.897023799335, 791.146017819268, 788.906200654048, 786.18597106406, 782.995359157732, 779.345885850171, 775.250400267259
 7.5, 790.50913920547, 790.259865235727, 789.512939630548, 788.271238070188, 786.539488083803, 784.324209906295, 781.633622537318, 778.4775247593, 774.867154296032, 770.815028847287
 8, 785.874940086743, 785.628450713033, 784.889858548391, 783.66197406931, 781.949415354628, 779.758547636322, 777.097388836048, 773.975491450433, 770.403804577815, 766.394520157869
 8.5, 781.258255704523, 781.014531474311, 780.284212367079, 779.070037119135, 777.376505192298, 775.209817102352, 772.577781808273, 769.489701645248, 765.956238803244, 761.989267482321
 9, 776.659825547113, 776.418836705899, 775.696700718522, 774.496082403582, 772.821359845562, 770.678566554273, 768.075301887889, 765.020620089838, 761.524901939508, 757.599713064746
 9.5, 772.080252520545, 771.841963982221, 771.12790590512, 769.940669344307, 768.284511667553, 766.165301040541, 763.590430418105, 760.568711132817, 757.110249972128, 753.226313638198
 10, 767.520051596858, 767.284425676857, 766.578332883012, 765.404291880545, 763.766441764067, 761.670489063561, 759.123625491609, 756.134426206295, 752.712732321259, 748.869521371694
 10.5, 762.979676838183, 762.746674750446, 762.048431498133, 760.887395342828, 759.267590438459, 757.194566394447, 754.675319783952, 751.71819703313, 748.332782242076, 744.529773450314
 11, 758.459536444076, 758.229119117633, 757.538608898091, 756.390385912804, 754.788363111385, 752.737938340449, 750.245919524115, 747.320432045051, 743.970811690766, 740.207486482209
 11.5, 753.960001205313, 753.732129727695, 753.049236540414, 751.913636011869, 750.329133766524, 748.300981185048, 745.835804122526, 742.941514605582, 739.627208689918, 735.903053605399
 12, 749.481409353252, 749.256045209852, 748.580654251401, 747.457487474021, 745.890247059992, 743.884043198652, 741.445326187724, 738.581802253921, 735.302336097926, 731.616843109336
 12.5, 745.02406945617, 744.801174658292, 744.133172691154, 743.022253527207, 741.47201972066, 739.487445437797, 737.074811780451, 734.241626533476, 730.996531173516, 727.349197912622
 13, 740.588262269913, 740.367799422169, 739.707074969149, 738.608220145037, 737.07474158447, 735.111482450366, 732.724560819308, 729.921293161935, 726.710105597121, 723.100435531155
 13.5, 736.17424203817, 735.956174372794, 735.302617816259, 734.215647074666, 732.698676448524, 730.756422948793, 728.39484758824, 725.621082406848, 722.44334576076, 718.870848333278
 14, 731.782237510518, 731.56652890358, 730.920032532554, 729.844768705423, 728.344062843922, 726.422510482566, 724.08592131613, 721.341249589744, 718.196513220856, 714.660703968083
 14.5, 727.412452821751, 727.199067799363, 726.559525827775, 725.495794865351, 724.011114778768, 722.109964124589, 719.798006809774, 717.082025674372, 713.969845254, 710.470245902407
 15, 723.065068307907, 722.853972046815, 722.221280615507, 721.168911590479, 719.700022476827, 717.818979176894, 715.531305127713, 712.843617912558, 709.763555480673, 706.29969402908
 15.5, 718.740241297459, 718.531399622393, 717.905456791705, 716.864281888786, 715.410953123291, 713.549727896352, 711.285994285792, 708.626210531007, 705.57783453572, 702.149245323912
 16, 714.438106896186, 714.231486275251, 713.612192011909, 712.58204650848, 711.144051621651, 709.302360238566, 707.062229987386, 704.429965447927, 701.412850771948, 698.019074537111
 16.5, 710.158778773624, 709.954346312444, 709.341602472778, 708.322324713696, 706.899441361744, 705.077004616882, 702.860146372397, 700.255023011394, 697.268750987492, 693.909334909362
